,Team,Conf,Games,Wins,ADJOE,ADJDE,Power_Rating,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,Two_PO,Two_PD,Three_PO,Three_PD,ADJ_T,WAB,Postseason,Year,avg_conf_power_rating,win_perc,wab_perc
68,VCU,CAA,32,24,102.6,91.6,0.7869,49.6,42.1,20.5,22.9,34.6,32.9,40.1,38.0,46.4,42.9,37.6,26.9,65.4,-0.3,DIDNT_MAKE,2008,0.46051666666666663,0.75,-0.009375
69,Houston,CUSA,34,24,112.7,100.8,0.7822,49.8,49.1,15.4,22.7,31.7,33.4,33.5,38.8,45.7,48.2,36.1,33.8,71.0,-1.7,DIDNT_MAKE,2008,0.6035999999999999,0.7058823529411765,-0.049999999999999996
70,Dayton,A10,34,23,109.2,97.9,0.7784,52.7,50.6,20.6,20.2,35.3,27.9,42.3,33.1,51.1,48.6,37.5,35.5,63.6,-0.7,DIDNT_MAKE,2008,0.6738714285714286,0.6764705882352942,-0.020588235294117647
71,Tulsa,CUSA,39,25,105.6,94.9,0.7736,50.4,46.0,22.8,18.1,36.4,29.5,38.0,31.5,49.0,44.6,35.3,32.8,66.1,-3.9,DIDNT_MAKE,2008,0.6035999999999999,0.6410256410256411,-0.09999999999999999
72,Creighton,MVC,33,22,106.4,95.6,0.7733,51.6,48.0,21.2,22.8,32.5,31.7,33.3,36.7,49.8,45.2,36.2,35.6,67.9,-0.3,DIDNT_MAKE,2008,0.69327,0.6666666666666666,-0.00909090909090909
73,South Alabama,SB,33,26,110.5,99.5,0.7686,53.9,48.4,20.6,20.4,37.9,30.5,46.0,31.0,53.3,47.3,36.8,33.5,66.7,-0.3,R64,2008,0.43289999999999995,0.7878787878787878,-0.00909090909090909
74,Utah,MWC,33,18,109.1,98.4,0.7671,53.8,47.8,19.6,18.1,26.9,25.0,31.1,40.4,51.4,44.8,38.8,35.7,64.3,-4.2,DIDNT_MAKE,2008,0.6466333333333334,0.5454545454545454,-0.1272727272727273
75,Alabama,SEC,33,17,109.5,99.1,0.76,51.4,50.2,18.5,20.2,36.5,31.9,33.5,33.9,50.0,48.3,36.3,35.5,68.6,-4.5,DIDNT_MAKE,2008,0.7867333333333333,0.5151515151515151,-0.13636363636363635
76,Rhode Island,A10,33,21,113.2,102.5,0.758,53.1,49.5,19.4,21.1,37.2,34.5,39.2,33.6,51.2,47.5,38.0,35.3,71.9,-2.3,DIDNT_MAKE,2008,0.6738714285714286,0.6363636363636364,-0.06969696969696969
77,Bradley,MVC,38,21,111.1,100.7,0.757,52.3,50.8,20.2,21.7,31.2,33.4,36.4,37.8,49.3,49.2,37.4,36.0,70.4,-4.8,DIDNT_MAKE,2008,0.69327,0.5526315789473685,-0.12631578947368421
78,Akron,MAC,35,24,108.6,98.5,0.7541,51.9,49.8,19.5,24.8,33.9,34.4,39.3,36.7,47.9,50.2,38.6,32.6,65.1,-2.9,DIDNT_MAKE,2008,0.5191666666666667,0.6857142857142857,-0.08285714285714285
79,IUPUI,Sum,33,26,114.3,103.7,0.7532,57.0,50.2,18.1,21.4,33.5,34.6,36.7,33.8,54.1,49.5,41.8,34.1,62.7,-1.5,DIDNT_MAKE,2008,0.43914,0.7878787878787878,-0.045454545454545456
80,Oral Roberts,Sum,33,24,102.1,92.8,0.7490000000000001,49.9,44.8,19.2,20.7,33.1,31.3,40.7,29.5,47.1,42.6,36.8,33.7,65.7,-0.9,R64,2008,0.43914,0.7272727272727273,-0.027272727272727275
81,Duquesne,A10,30,17,107.1,97.5,0.7483,51.7,48.1,21.4,24.3,37.1,37.1,39.6,35.9,54.2,45.4,31.6,36.0,76.1,-4.8,DIDNT_MAKE,2008,0.6738714285714286,0.5666666666666667,-0.16
82,Missouri St.,MVC,33,17,107.3,97.6,0.7479,50.7,49.6,22.3,22.6,35.2,32.5,34.8,35.2,48.6,46.6,36.6,36.5,66.9,-5.9,DIDNT_MAKE,2008,0.69327,0.5151515151515151,-0.1787878787878788
83,Virginia,ACC,33,17,110.4,100.6,0.7449,50.3,52.0,19.4,18.8,36.1,28.6,35.3,33.2,47.6,50.1,36.6,36.7,70.0,-3.4,DIDNT_MAKE,2008,0.831125,0.5151515151515151,-0.10303030303030303
84,Providence,BE,31,15,108.9,99.2,0.7445,51.5,50.3,21.1,22.0,36.6,36.4,32.3,37.1,48.9,49.4,37.6,34.7,67.7,-3.0,DIDNT_MAKE,2008,0.7853249999999998,0.4838709677419355,-0.0967741935483871
85,George Mason,CAA,34,23,108.0,98.7,0.738,52.3,47.5,18.7,18.4,32.0,27.9,39.8,27.0,52.4,46.4,34.7,33.2,63.7,-3.6,R64,2008,0.46051666666666663,0.6764705882352942,-0.10588235294117647
86,Miami OH,MAC,33,17,106.2,97.1,0.7367,51.5,48.6,20.0,20.3,31.1,33.2,30.9,30.9,50.6,48.0,35.6,33.2,59.7,-4.2,DIDNT_MAKE,2008,0.5191666666666667,0.5151515151515151,-0.1272727272727273
87,Texas Tech,B12,31,16,105.3,96.3,0.7359,50.2,51.0,19.9,21.8,26.3,33.0,47.6,34.8,48.4,48.8,36.7,36.8,70.0,-2.2,DIDNT_MAKE,2008,0.8326000000000002,0.5161290322580645,-0.07096774193548387
88,Charlotte,A10,34,20,102.5,93.9,0.7335,47.1,49.0,20.6,24.3,33.3,32.9,41.7,41.2,44.0,47.4,34.4,34.2,68.8,-2.6,DIDNT_MAKE,2008,0.6738714285714286,0.5882352941176471,-0.07647058823529412
89,Georgia,SEC,34,17,103.2,94.7,0.7281,47.8,48.1,21.8,19.0,37.2,31.6,32.1,33.6,47.1,49.1,32.9,30.9,66.6,-3.9,R64,2008,0.7867333333333333,0.5,-0.11470588235294117
90,New Mexico St.,WAC,35,21,106.8,98.5,0.7152,52.4,49.6,21.9,21.6,41.2,29.4,39.0,33.2,52.5,46.7,34.8,36.3,71.4,-5.5,DIDNT_MAKE,2008,0.4336222222222222,0.6,-0.15714285714285714
91,San Diego St.,MWC,33,20,102.9,95.0,0.7148,49.1,50.5,20.9,23.1,32.8,28.0,36.6,33.0,48.9,49.3,33.0,35.2,66.1,-2.9,DIDNT_MAKE,2008,0.6466333333333334,0.6060606060606061,-0.08787878787878788
92,Western Michigan,MAC,32,20,105.3,97.6,0.7063,49.7,46.7,22.0,19.4,36.1,29.4,47.6,41.5,47.0,45.3,36.1,32.9,66.0,-4.6,DIDNT_MAKE,2008,0.5191666666666667,0.625,-0.14375
93,South Carolina,SEC,32,14,107.9,100.0,0.7054,50.4,51.1,15.5,21.9,30.7,37.3,22.6,27.5,48.1,50.9,36.4,34.4,67.1,-6.3,DIDNT_MAKE,2008,0.7867333333333333,0.4375,-0.196875
94,UCF,CUSA,31,16,107.7,99.9,0.7019,51.7,48.2,20.3,21.7,34.1,33.4,37.2,42.2,50.2,46.8,36.3,33.6,66.8,-6.6,DIDNT_MAKE,2008,0.6035999999999999,0.5161290322580645,-0.2129032258064516
95,Boston College,ACC,31,14,107.7,99.9,0.7018,50.9,49.6,22.5,17.9,35.4,35.7,39.7,28.8,49.6,48.5,36.0,34.6,66.1,-4.7,DIDNT_MAKE,2008,0.831125,0.45161290322580644,-0.15161290322580645
96,Siena,MAAC,34,23,106.8,99.2,0.7008,50.5,51.8,15.5,23.9,31.4,36.5,36.3,25.4,48.1,49.5,37.4,37.6,69.2,-3.8,R32,2008,0.4234,0.6764705882352942,-0.11176470588235293
97,LSU,SEC,31,13,103.9,96.8,0.693,48.3,47.8,20.3,19.5,32.0,35.7,29.3,28.0,48.4,46.1,32.2,34.3,67.8,-7.1,DIDNT_MAKE,2008,0.7867333333333333,0.41935483870967744,-0.22903225806451613
98,Southern Miss,CUSA,32,18,106.7,99.6,0.6898,47.5,49.9,19.4,19.2,36.1,28.1,48.6,43.2,47.3,49.2,32.1,34.3,65.4,-4.7,DIDNT_MAKE,2008,0.6035999999999999,0.5625,-0.146875
99,Cal St. Fullerton,BW,32,23,109.1,101.8,0.6879,54.2,52.7,18.3,23.6,32.6,30.2,32.3,32.9,52.3,51.2,38.4,37.0,74.1,-3.2,R64,2008,0.3964333333333333,0.71875,-0.1
100,North Carolina St.,ACC,31,15,106.6,99.6,0.6867,51.1,47.3,22.5,16.0,30.3,35.4,47.4,26.6,50.8,44.6,34.6,36.3,64.7,-3.0,DIDNT_MAKE,2008,0.831125,0.4838709677419355,-0.0967741935483871
101,Ohio,MAC,33,20,106.5,99.7,0.6816,51.9,51.5,21.6,22.0,35.0,30.8,39.6,34.4,51.4,50.1,35.2,35.5,65.3,-4.0,DIDNT_MAKE,2008,0.5191666666666667,0.6060606060606061,-0.12121212121212122
102,UTEP,CUSA,33,19,104.2,97.6,0.6797,48.8,49.4,17.9,23.3,30.7,30.5,45.7,49.0,48.5,47.3,33.0,35.4,73.2,-3.6,DIDNT_MAKE,2008,0.6035999999999999,0.5757575757575758,-0.1090909090909091
103,DePaul,BE,30,11,111.0,104.2,0.6756,49.6,53.5,17.5,19.6,33.6,36.4,30.8,28.3,47.4,49.5,35.8,40.8,67.9,-6.5,DIDNT_MAKE,2008,0.7853249999999998,0.36666666666666664,-0.21666666666666667
104,Cincinnati,BE,32,13,102.9,96.7,0.6731,47.1,49.2,21.2,18.1,35.3,29.1,32.8,46.1,45.9,48.5,32.8,33.7,65.5,-5.0,DIDNT_MAKE,2008,0.7853249999999998,0.40625,-0.15625
105,Cleveland St.,Horz,34,21,100.5,94.5,0.6707,47.6,47.7,21.2,21.7,34.2,30.7,39.1,43.3,48.3,47.5,30.4,32.1,66.9,-3.6,DIDNT_MAKE,2008,0.5589199999999999,0.6176470588235294,-0.10588235294117647
106,South Florida,BE,31,12,105.6,99.3,0.6689,48.8,48.7,20.2,18.4,35.9,33.8,43.0,33.9,48.5,46.8,33.0,35.2,65.6,-7.9,DIDNT_MAKE,2008,0.7853249999999998,0.3870967741935484,-0.25483870967741934
107,Nevada,WAC,33,21,106.9,100.7,0.6648,53.0,47.5,20.0,17.4,32.7,32.4,36.9,32.1,52.4,44.9,36.3,36.0,68.9,-3.8,DIDNT_MAKE,2008,0.4336222222222222,0.6363636363636364,-0.11515151515151514
108,UNC Greensboro,SC,31,19,106.4,100.4,0.6629,52.6,50.1,21.4,22.3,35.1,35.2,40.1,24.3,51.9,48.0,35.8,36.1,66.3,-4.5,DIDNT_MAKE,2008,0.45454545454545464,0.6129032258064516,-0.14516129032258066
109,Seton Hall,BE,32,17,108.7,102.6,0.6619,48.0,51.1,16.9,21.4,33.7,38.4,36.7,39.3,46.6,48.8,33.8,37.0,71.2,-3.7,DIDNT_MAKE,2008,0.7853249999999998,0.53125,-0.115625
